generator,target,label,label_name,rows,n_original_correct,n_attack_success,original_accuracy,attacked_accuracy,asr,asr_pct,wilson_ci_lower_pct,wilson_ci_upper_pct
claude_sonnet,claude_sonnet,0,Entailment,760,740,16,0.9736842105263158,0.9605263157894737,0.021621621621621623,2.1621621621621623,1.33519872496578,3.4832284271746934
claude_sonnet,claude_sonnet,1,Neutral,742,642,62,0.8652291105121294,0.8140161725067385,0.09657320872274143,9.657320872274143,7.606642906216243,12.187914577617715
claude_sonnet,claude_sonnet,2,Contradiction,707,687,16,0.9717114568599717,0.9533239038189534,0.023289665211062592,2.3289665211062593,1.4385617272050202,3.749525693297731
claude_sonnet,gemini,0,Entailment,760,738,15,0.9710526315789474,0.9631578947368421,0.02032520325203252,2.0325203252032518,1.2355385223452688,3.3262796961312127
claude_sonnet,gemini,1,Neutral,742,673,25,0.9070080862533693,0.8827493261455526,0.03714710252600297,3.7147102526002973,2.5286129662413956,5.426198034034161
claude_sonnet,gemini,2,Contradiction,707,691,11,0.9773691654879774,0.9660537482319661,0.015918958031837915,1.5918958031837915,0.8911730060939689,2.8278708840839473
claude_sonnet,gpt,0,Entailment,760,713,21,0.9381578947368421,0.9302631578947368,0.029453015427769985,2.9453015427769986,1.934351906333627,4.4605710235021885
claude_sonnet,gpt,1,Neutral,742,664,52,0.894878706199461,0.8382749326145552,0.0783132530120482,7.83132530120482,6.021887242945781,10.125876181494153
claude_sonnet,gpt,2,Contradiction,707,646,28,0.9137199434229137,0.9024045261669024,0.043343653250773995,4.3343653250774,3.0155946841017025,6.193029667027259
claude_sonnet,hyperclova_x,0,Entailment,760,704,36,0.9263157894736842,0.8960526315789473,0.05113636363636364,5.113636363636364,3.7163202502720996,6.998149476755546
claude_sonnet,hyperclova_x,1,Neutral,742,408,65,0.5498652291105122,0.5417789757412399,0.15931372549019607,15.931372549019606,12.700402899821018,19.797893702941714
claude_sonnet,hyperclova_x,2,Contradiction,707,668,37,0.9448373408769448,0.9066478076379066,0.05538922155688623,5.538922155688622,4.0449270447658625,7.541356861757538
gemini,claude_sonnet,0,Entailment,760,740,24,0.9736842105263158,0.9526315789473684,0.032432432432432434,3.2432432432432434,2.1889840149165543,4.780439133785717
gemini,claude_sonnet,1,Neutral,742,642,55,0.8652291105121294,0.8342318059299192,0.08566978193146417,8.566978193146417,6.640906014221826,10.985936807013049
gemini,claude_sonnet,2,Contradiction,707,687,20,0.9717114568599717,0.9504950495049505,0.02911208151382824,2.911208151382824,1.8923348421421047,4.453760670934661
gemini,gemini,0,Entailment,760,738,15,0.9710526315789474,0.9644736842105263,0.02032520325203252,2.0325203252032518,1.2355385223452688,3.3262796961312127
gemini,gemini,1,Neutral,742,673,31,0.9070080862533693,0.8773584905660378,0.04606240713224369,4.606240713224369,3.263795552367646,6.463956488031014
gemini,gemini,2,Contradiction,707,691,14,0.9773691654879774,0.9632248939179632,0.020260492040520984,2.0260492040520983,1.2106455601787975,3.3719046628226357
gemini,gpt,0,Entailment,760,713,33,0.9381578947368421,0.9171052631578948,0.04628330995792426,4.628330995792426,3.314364126797091,6.428579443402271
gemini,gpt,1,Neutral,742,664,44,0.894878706199461,0.8517520215633423,0.06626506024096386,6.626506024096386,4.9730295728586,8.77895566370819
gemini,gpt,2,Contradiction,707,646,40,0.9137199434229137,0.8811881188118812,0.06191950464396285,6.191950464396285,4.579896406190449,8.321936445909538
gemini,hyperclova_x,0,Entailment,760,704,66,0.9263157894736842,0.8565789473684211,0.09375,9.375,7.436898022209523,11.754046097821824
gemini,hyperclova_x,1,Neutral,742,408,83,0.5498652291105122,0.5336927223719676,0.2034313725490196,20.34313725490196,16.722136011933607,24.517388368888632
gemini,hyperclova_x,2,Contradiction,707,668,41,0.9448373408769448,0.8953323903818954,0.061377245508982034,6.137724550898203,4.556327585820914,8.22071343980655
gpt,claude_sonnet,0,Entailment,760,740,21,0.9736842105263158,0.9526315789473684,0.02837837837837838,2.837837837837838,1.8634952794224935,4.2993043705691045
gpt,claude_sonnet,1,Neutral,742,642,39,0.8652291105121294,0.8369272237196765,0.06074766355140187,6.074766355140187,4.475380603821247,8.196685845758585
gpt,claude_sonnet,2,Contradiction,707,687,12,0.9717114568599717,0.9618104667609618,0.017467248908296942,1.7467248908296942,1.0019737684137529,3.0281055595149864
gpt,gemini,0,Entailment,760,738,11,0.9710526315789474,0.9671052631578947,0.014905149051490514,1.4905149051490514,0.8342829522316744,2.649137731990304
gpt,gemini,1,Neutral,742,673,17,0.9070080862533693,0.894878706199461,0.02526002971768202,2.526002971768202,1.5829949350740602,4.007894678370691
gpt,gemini,2,Contradiction,707,691,10,0.9773691654879774,0.9674681753889675,0.01447178002894356,1.447178002894356,0.7879446772277466,2.643263768675664
gpt,gpt,0,Entailment,760,713,19,0.9381578947368421,0.9342105263157895,0.02664796633941094,2.664796633941094,1.7125077306164618,4.124411759158762
gpt,gpt,1,Neutral,742,664,42,0.894878706199461,0.8557951482479784,0.06325301204819277,6.325301204819277,4.713372238046898,8.439668451551604
gpt,gpt,2,Contradiction,707,646,22,0.9137199434229137,0.9123055162659123,0.034055727554179564,3.4055727554179565,2.2595780515378547,5.102442049105594
gpt,hyperclova_x,0,Entailment,760,704,36,0.9263157894736842,0.8894736842105263,0.05113636363636364,5.113636363636364,3.7163202502720996,6.998149476755546
gpt,hyperclova_x,1,Neutral,742,408,64,0.5498652291105122,0.5215633423180593,0.1568627450980392,15.686274509803921,12.479479551459189,19.5331932858558
gpt,hyperclova_x,2,Contradiction,707,668,18,0.9448373408769448,0.9335219236209336,0.02694610778443114,2.694610778443114,1.711151795831816,4.219035794947291
hyperclova_x,claude_sonnet,0,Entailment,760,740,65,0.9736842105263158,0.8947368421052632,0.08783783783783784,8.783783783783784,6.951374229145641,11.041903401935842
hyperclova_x,claude_sonnet,1,Neutral,742,642,83,0.8652291105121294,0.7911051212938005,0.1292834890965732,12.92834890965732,10.551885125149491,15.74581634648171
hyperclova_x,claude_sonnet,2,Contradiction,707,687,47,0.9717114568599717,0.9137199434229137,0.06841339155749636,6.841339155749636,5.183563530374399,8.979086607576948
hyperclova_x,gemini,0,Entailment,760,738,51,0.9710526315789474,0.9171052631578948,0.06910569105691057,6.910569105691057,5.294955104093561,8.972440922673448
hyperclova_x,gemini,1,Neutral,742,673,44,0.9070080862533693,0.8652291105121294,0.06537890044576523,6.537890044576524,4.906032469722666,8.663091824276052
hyperclova_x,gemini,2,Contradiction,707,691,42,0.9773691654879774,0.9222065063649222,0.060781476121562955,6.078147612156296,4.527916427795535,8.114026234892052
hyperclova_x,gpt,0,Entailment,760,713,62,0.9381578947368421,0.8763157894736842,0.08695652173913043,8.695652173913043,6.8424675522665845,10.99152589881135
hyperclova_x,gpt,1,Neutral,742,664,71,0.894878706199461,0.8247978436657682,0.10692771084337349,10.692771084337348,8.564299428689573,13.27343719194908
hyperclova_x,gpt,2,Contradiction,707,646,70,0.9137199434229137,0.8359264497878359,0.10835913312693499,10.8359133126935,8.666381307727054,13.468472796800498
hyperclova_x,hyperclova_x,0,Entailment,760,704,79,0.9263157894736842,0.8381578947368421,0.11221590909090909,11.221590909090908,9.09733354825231,13.766749475413977
hyperclova_x,hyperclova_x,1,Neutral,742,408,90,0.5498652291105122,0.5283018867924528,0.22058823529411764,22.058823529411764,18.306386793453324,26.33250394550316
hyperclova_x,hyperclova_x,2,Contradiction,707,668,66,0.9448373408769448,0.8613861386138614,0.09880239520958084,9.880239520958083,7.841645197569182,12.377627822458672
